日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2017/9/1,"17,805,405","3,851,834,126",215.0,217.5,215.0,216.5,0.0,"6,956",30.156,4.584315,1.1892,110.1,1.29145,0.7936,7.82595,6.5781,12.9461,0.71595
2017/9/4,"15,053,185","3,273,164,145",216.5,218.0,215.5,217.5,1.0,"8,635",30.101,4.608885,1.1896,109.46,1.2942,0.7956,7.82535,6.5311,12.966,0.71705
2017/9/5,"34,514,275","7,503,488,603",218.0,218.0,216.5,218.0,0.5,"7,065",30.07,4.586457,1.1881,109.455,1.29255,0.79635,7.82525,6.55625,12.9729,0.71775
2017/9/6,"28,148,528","6,117,444,609",216.5,218.0,216.0,217.0,-1.0,"6,999",30.105,4.606336,1.1944,108.71,1.3042,0.7991,7.8246,6.53555,12.90365,0.72335
2017/9/7,"19,198,540","4,170,321,680",218.0,218.5,216.0,217.0,0.0,"6,586",30.061999999999998,4.619808,1.19485,109.015,1.3046,0.80015,7.8196,6.5072,12.8172,0.7190000000000001
2017/9/8,"25,512,045","5,549,520,265",217.0,218.0,216.5,218.0,1.0,"7,969",30.006,4.634097,1.2049,107.74,1.31365,0.80895,7.80875,6.47505,12.8257,0.72955
2017/9/11,"19,387,886","4,215,723,762",219.0,219.5,216.5,217.0,-1.0,"5,305",30.026,4.601394,1.20165,108.48,1.31945,0.80475,7.8141,6.5254,12.9005,0.7266
2017/9/12,"24,862,321","5,437,521,978",219.0,219.5,217.5,219.0,2.0,"5,992",30.03,4.591137000000001,1.197,109.65,1.3202,0.80405,7.81305,6.54085,12.8931,0.73045
2017/9/13,"18,336,541","3,998,984,438",217.5,219.0,217.5,218.0,-1.0,"4,598",30.055999999999997,4.605090000000001,1.19925,109.98,1.3313,0.80405,7.811,6.5267,13.0332,0.73025
2017/9/14,"21,508,567","4,701,852,606",218.5,219.0,217.5,218.5,0.5,"6,314",30.105999999999998,4.591616999999999,1.1897,110.41,1.32065,0.7999,7.8119,6.55675,13.1408,0.72385
2017/9/15,"48,901,103","10,668,230,939",218.5,219.0,217.0,218.5,0.0,"5,253",30.075,4.592152,1.19195,110.72,1.34325,0.8001,7.8128,6.5492,13.1348,0.72435
2017/9/18,"17,812,705","3,905,801,892",219.0,220.0,218.0,219.5,1.0,"6,714",30.108,4.590266000000001,1.1929,111.38,1.35595,0.8007,7.8162,6.5591,13.2102,0.7301
2017/9/19,"26,255,575","5,742,129,525",221.5,221.5,220.0,221.5,2.0,"11,072",30.136999999999997,4.5778099999999995,1.1998,111.72,1.35175,0.79845,7.80325,6.5833,13.3314,0.72855
2017/9/20,"23,434,237","5,179,958,449",221.0,222.0,220.0,221.5,0.0,"9,347",30.131999999999998,4.585488,1.20075,111.435,1.35215,0.8036,7.8079,6.57115,13.2789,0.73485
2017/9/21,"18,645,565","4,125,047,365",221.0,223.0,220.0,221.0,-0.5,"6,604",30.208000000000002,4.582886,1.1909999999999998,112.515,1.3502,0.7962,7.80585,6.5915,13.3555,0.7322
2017/9/22,"22,456,370","4,930,530,220",221.5,222.0,218.5,218.5,-2.5,"7,431",30.191,4.58864,1.1993,111.97,1.35775,0.79535,7.80805,6.5795,13.2015,0.7317
2017/9/25,"17,458,286","3,797,761,662",217.5,218.5,217.0,217.0,-1.5,"6,250",30.171999999999997,4.565325,1.1908,112.25,1.35265,0.79595,7.8132,6.60895,13.2866,0.72915
2017/9/26,"25,003,901","5,392,244,669",217.5,218.0,214.0,214.0,-3.0,"8,768",30.215999999999998,4.562556,1.1813,111.67,1.3478,0.7922,7.81375,6.6226,13.3282,0.722
2017/9/27,"24,794,510","5,353,580,844",217.5,217.5,215.0,215.0,1.0,"7,326",30.303,4.568329,1.1749,112.72,1.3389,0.78525,7.81005,6.6333,13.4698,0.71975
2017/9/28,"31,616,062","6,788,534,834",215.0,216.0,213.5,214.0,-1.0,"7,749",30.405,4.560568,1.1769,112.715,1.33755,0.78285,7.80925,6.66695,13.5827,0.7203
2017/9/29,"23,954,708","5,184,362,760",216.0,217.5,215.5,216.5,2.5,"7,507",30.336,4.563353,1.18025,112.425,1.3416,0.7846,7.8108,6.64775,13.49705,0.72185
2017/9/30,"4,254,045","924,823,765",218.0,218.5,216.5,216.5,0.0,"2,446",30.305,4.558781,1.1815,112.465,1.3397,0.78285,7.8104,6.6476,13.50275,0.72075
2017/10/2,"28,360,551","6,233,064,680",219.5,220.5,218.5,220.5,4.0,"10,605",30.413,4.555381,1.17425,112.945,1.33255,0.7805,7.81245,6.6763,13.63465,0.71765
2017/10/3,"38,330,938","8,497,244,691",219.0,223.0,219.0,222.5,2.0,"12,703",30.45,4.566647,1.17455,113.09,1.3281,0.78145,7.8114,6.6679,13.634,0.7174
2017/10/5,"25,397,939","5,691,251,336",222.0,225.5,222.0,224.5,2.0,"8,601",30.35,4.56807,1.1774,112.67,1.3196,0.78315,7.8079,6.64395,13.5967,0.71595
2017/10/6,"16,040,516","3,604,683,862",225.0,225.5,223.5,224.5,0.0,"7,612",30.375999999999998,4.56451,1.16925,113.04,1.30655,0.7771,7.80625,6.6548,13.7023,0.7104
2017/10/11,"67,649,562","15,633,206,754",226.5,233.5,226.5,233.0,8.5,"20,879",30.232,4.597773,1.1840000000000002,112.26,1.3206,0.779,7.80405,6.57535,13.5859,0.7073
2017/10/12,"44,176,186","10,450,920,432",235.0,237.5,234.5,237.5,4.5,"16,490",30.213,4.588598999999999,1.1862,112.28,1.32455,0.78245,7.80695,6.58435,13.48205,0.7112
2017/10/13,"23,145,071","5,465,540,327",237.5,237.5,234.5,237.5,0.0,"10,507",30.185,4.58815,1.1828,112.0,1.33145,0.78435,7.8072,6.5789,13.38435,0.71495
2017/10/16,"20,673,072","4,906,963,355",237.5,238.0,236.0,238.0,0.5,"6,764",30.158,4.581694000000001,1.17905,111.755,1.3299,0.78815,7.80905,6.5823,13.2957,0.7182
2017/10/17,"17,652,304","4,171,891,244",238.0,238.0,235.0,235.5,-2.5,"6,336",30.205,4.569563,1.17735,112.165,1.32835,0.7856,7.80775,6.61005,13.3128,0.71785
2017/10/18,"28,970,850","6,901,364,183",239.5,239.5,237.0,237.5,2.0,"10,330",30.2,4.565213,1.1763,112.51,1.31855,0.78365,7.80815,6.61525,13.45155,0.71355
2017/10/19,"23,481,776","5,636,769,464",239.5,241.5,239.0,239.0,1.5,"9,033",30.23,4.56074,1.1795,112.65,1.31665,0.7861,7.8027,6.6283,13.5436,0.70415
2017/10/20,"27,056,035","6,456,386,670",238.0,239.5,237.5,237.5,-1.5,"7,206",30.241,4.5675099999999995,1.1806,113.41,1.31315,0.78415,7.80335,6.6209,13.668,0.6982
